0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
DESTINO ESP.,FRENTE,CAMARA PTZ,CAMARA MULTISENSOR,ALTAVOZ IP,BOTON DE PANICO,DISPONIBILIDAD DE ESPACIO,MATERIAL BASE,METODO DE ANCLAJE,MEDIO DE COMUNICACION,ESTADO OPERATIVO,CUADRILLA - TIPO,FECHAS DE INSTALACION GABINETES (ADECUACION O INSTALACION NUEVA),CUADRILLA - TIPO,"FECHAS DE INSTALACION CAMARAS PTZ Y MULTISENSOR , MEGAFONOS IP , BOTON DE PANICO",,LOGISTICA,PTZ-41 AV. EJERCITO GENERAL,PTZ-42 LA BOMBONERA,PTZ-43 PARAISO,PTZ-44 TUPAC AMARU,PTZ-45 TEQTE,PTZ-46 SAN PEDRO,PTZ-47 SAN FRANCISCO,PTZ-48 SAN BERNADO DE ALMAGRO,PTZ-25 CHOQUECHACA,PTZ-26 SAN BLAS 1,PTZ-27 SAN BLAS 2,PTZ-53 MARURI,PTZ-56 PRIEDRA DE LOS 12 ANGULOS,PTZ-16 REGOCIJO,PTZ-17 PORTAL ESPINAR,PTZ-21 PARQUE DE LA MADRE,TOTALES,,CUADRILLA-01-C,CUADRILLA-02-C,CUADRILLA-03-L,CUADRILLA-04-L
OESTE MP-CUZCO,4,PTZ-41 AV. EJERCITO GENERAL,,ALTAVOZ-41 AV. EJERCITO GENERAL,,SI,ADOBE,BASE PLANA PARA VIVIENDA,MEDIA CONVERTE (FIBRA - MEDIA CONVERTER - CAMARA),INACTIVO,CUADRILLA-03-L,2026-06-11 00:00:00,CUADRILLA-03-L,2026-06-20 00:00:00,,CAMARA PTZ (UND),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,4,4,4,4
OESTE MP-CUZCO,4,PTZ-42 LA BOMBONERA,,ALTAVOZ-42 LA BOMBONERA,,SI,CEMENTO,BASE ANGULAR PARA VIVIENDA,MEDIA CONVERTE (FIBRA - MEDIA CONVERTER - CAMARA),ACTIVO,CUADRILLA-03-L,2026-06-11 00:00:00,CUADRILLA-03-L,2026-06-20 00:00:00,,CAMARA MULTISENSOR (UND),0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,7,,1,2,2,2
OESTE MP-CUZCO,4,PTZ-43 PARAISO,MULTI-43 PARAISO,ALTAVOZ-43 PARAISO,BOTON-43 PARAISO,SI,POSTE SEMAFORO,ABRAZADERAS PARA POSTE,DIRECTO A LA CAMARA (UTP),ACTIVO,CUADRILLA-03-L,2026-06-11 00:00:00,CUADRILLA-03-L,2026-06-20 00:00:00,,ALTAVOCES (UND),1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,11,,2,2,4,3
OESTE MP-CUZCO,4,PTZ-44 TUPAC AMARU,MULTI-44 TUPAC AMARU,ALTAVOZ-44 TUPAC AMARU,,SI,ADOBE,BASE PLANA PARA VIVIENDA,DIRECTO A LA CAMARA (UTP),ACTIVO,CUADRILLA-03-L,2026-06-11 00:00:00,CUADRILLA-03-L,2026-06-22 00:00:00,,BOTONES DE PANICO (UND),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,1,0
OESTE MP-CUZCO,4,PTZ-45 TEQTE,,ALTAVOZ-45 TEQTE,,SI,POSTE SEMAFORO,ABRAZADERAS PARA POSTE,DIRECTO A LA CAMARA (UTP),INACTIVO,CUADRILLA-04-L,2026-06-11 00:00:00,CUADRILLA-04-L,2026-06-20 00:00:00,,SWITCH WI-TEK (UND),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,4,4,4,4
OESTE MP-CUZCO,4,PTZ-46 SAN PEDRO,MULTI-46 SAN PEDRO,ALTAVOZ-46 SAN PEDRO,,SI,POSTE,ABRAZADERAS PARA POSTE,DIRECTO A LA CAMARA (UTP),ACTIVO,CUADRILLA-04-L,2026-06-11 00:00:00,CUADRILLA-04-L,2026-06-20 00:00:00,,FUENTE DE PODER DEL SWITCH WI-TEK (UND),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,4,4,4,4
OESTE MP-CUZCO,4,PTZ-47 SAN FRANCISCO,MULTI-47 SAN FRANCISCO,ALTAVOZ-47 SAN FRANCISCO,,SI,ADOBE,BASE ANGULAR PARA VIVIENDA,POE (ANTENA - POE - CAMARA),ACTIVO,CUADRILLA-04-L,2026-06-11 00:00:00,CUADRILLA-04-L,2026-06-20 00:00:00,,INYECTORES POE (UND),1,1,2,2,1,2,2,1,1,1,2,1,1,2,1,2,23,,5,6,6,6
OESTE MP-CUZCO,4,PTZ-48 SAN BERNADO DE ALMAGRO,,,,SI,POSTE SEMAFORO,ABRAZADERAS PARA POSTE,DIRECTO A LA CAMARA (UTP),ACTIVO,CUADRILLA-04-L,2026-06-11 00:00:00,CUADRILLA-04-L,2026-06-22 00:00:00,,PARARRAYOS ETHERNET (UND),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,4,4,4,4
OESTE MP-CUZCO,4,PTZ-25 CHOQUECHACA,,,,SI,ADOBE,BASE ANGULAR PARA VIVIENDA,DIRECTO A LA CAMARA (UTP),ACTIVO,CUADRILLA-01-C,2026-06-11 00:00:00,CUADRILLA-01-C,2026-06-17 00:00:00,,LLAVES TERMOMAGNETICAS (UND),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,4,4,4,4
OESTE MP-CUZCO,4,PTZ-26 SAN BLAS 1,,,,SI,ADOBE,BASE ANGULAR PARA VIVIENDA,MEDIA CONVERTE (FIBRA - MEDIA CONVERTER - CAMARA),INACTIVO,CUADRILLA-01-C,2026-06-11 00:00:00,CUADRILLA-01-C,2026-06-18 00:00:00,,LLAVES DIFERENCIALES (UND),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,4,4,4,4
OESTE MP-CUZCO,4,PTZ-27 SAN BLAS 2,MULTI-27 SAN BLAS 2,ALTAVOZ-27 SAN BLAS 2,,SI,POSTE,ABRAZADERAS PARA POSTE,POE (ANTENA - POE - CAMARA),ACTIVO,CUADRILLA-01-C,2026-06-11 00:00:00,CUADRILLA-01-C,2026-06-18 00:00:00,,UPS (UND),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,4,4,4,4
OESTE MP-CUZCO,4,PTZ-53 MARURI,,ALTAVOZ-53 MARURI,,SI,CEMENTO,BASE PLANA PARA VIVIENDA,MEDIA CONVERTE (FIBRA - MEDIA CONVERTER - CAMARA),ACTIVO,CUADRILLA-01-C,2026-06-11 00:00:00,CUADRILLA-01-C,2026-06-18 00:00:00,,TRANSFORMADOR (UND),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,4,4,4,4
OESTE MP-CUZCO,4,PTZ-56 PRIEDRA DE LOS 12 ANGULOS,,,,SI,ADOBE,BASE PLANA PARA VIVIENDA,SWITCH(UP),ACTIVO,CUADRILLA-02-C,2026-06-11 00:00:00,CUADRILLA-02-C,2026-06-18 00:00:00,,SUPRESOR DE PICOS (UND),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,4,4,4,4
OESTE MP-CUZCO,4,PTZ-16 REGOCIJO,MULTI-16 REGOCIJO,ALTAVOZ-16 REGOCIJO,,SI,CEMENTO,BASE ANGULAR PARA VIVIENDA,MEDIA CONVERTE (FIBRA - MEDIA CONVERTER - CAMARA),ACTIVO,CUADRILLA-02-C,2026-06-11 00:00:00,CUADRILLA-02-C,2026-06-19 00:00:00,,SOPORTE DE UPS (UND),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,4,4,4,4
OESTE MP-CUZCO,4,PTZ-17 PORTAL ESPINAR,,,,SI,CEMENTO,BASE ANGULAR PARA VIVIENDA,DIRECTO A LA CAMARA (UTP),ACTIVO,CUADRILLA-02-C,2026-06-11 00:00:00,CUADRILLA-02-C,2026-06-19 00:00:00,,SOPORTE DE TRANSFORMADOR  (UND),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,4,4,4,4
OESTE MP-CUZCO,4,PTZ-21 PARQUE DE LA MADRE,MULTI-21 PARQUE DE LA MADRE,ALTAVOZ-21 PARQUE DE LA MADRE,,SI,CEMENTO,BASE PLANA PARA VIVIENDA,DIRECTO A LA CAMARA (UTP),ACTIVO,CUADRILLA-02-C,2026-06-11 00:00:00,CUADRILLA-02-C,2026-06-20 00:00:00,,PRENSAESTOPA (UND),2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,32,,8,8,8,8
,,,,,,,,,,,,,,,,CORRUGADO (M),10,10,20,15,10,15,15,5,5,5,15,10,5,15,5,15,175,,35,40,55,45
,,,,,,,,,,,,,,,,CABLE ETHERNET (M),10,10,20,15,10,15,15,5,5,5,15,10,5,15,5,15,175,,35,40,55,45
,,,,,,,,,,,,,,,,CABLE ELECTRICO (M),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,64,,16,16,16,16
,,,,,,,,,,,,,,,,CONECTOR RJ45 CAT 6A (UND),4,4,8,6,4,6,6,2,2,2,6,4,2,6,2,6,70,,14,16,22,18
,,,,,,,,,,,,,,,,BRAZOS (UND),1,1,2,2,1,2,2,1,1,1,2,1,1,2,1,2,23,,5,6,6,6
,,,,,,,,,,,,,,,,BASES DE ANCLAJE PLANO (PAR),1,0,0,2,0,0,0,0,0,0,0,1,1,0,0,1,6,,1,2,3,0
,,,,,,,,,,,,,,,,BASES DE ANCLAJE ANGULAR (PAR),0,1,0,0,0,0,2,0,1,0,0,0,0,2,1,0,7,,1,3,1,2
,,,,,,,,,,,,,,,,ABRAZADERAS POSTE CONCRETO (PAR),0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,1,7,,4,1,0,2
,,,,,,,,,,,,,,,,ABRAZADERAS POSTE SEMAFORO (PAR),0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,4,,0,0,2,2
,,,,,,,,,,,,,,,,CINTA BANDIT (M),2,2,2,2,2,2,2,0,0,0,2,2,0,2,0,2,22,,4,4,8,6
,,,,,,,,,,,,,,,,EBILLAS (UND),2,2,2,2,2,2,2,0,0,0,2,2,0,2,0,2,22,,4,4,8,6
,,,,,,,,,,,,,,,,PATCHORE CAT 6A (UN),2,2,3,3,2,3,3,2,2,2,3,2,2,3,2,3,39,,9,10,10,10
